NO_OF_FRAMES	14124
NO_OF_CAMERAS	2
NO_OF_BODIES	1
FREQUENCY	20
NO_OF_ANALOG	0
ANALOG_FREQUENCY	0
DESCRIPTION	--
TIME_STAMP	2018-05-13, 11:12:26	4529.38133216
DATA_INCLUDED	6D
BODY_NAMES	New Body #1
 X	 Y	 Z	 Roll	 Pitch	 Yaw	 Residual	 Rot[0]	 Rot[1]	 Rot[2]	 Rot[3]	 Rot[4]	 Rot[5]	 Rot[6]	 Rot[7]	 Rot[8]
76.66525	160.10245	-176.12363	-1.23810	-0.77497	-4.29612	2.14852	0.99710	-0.07460	0.01510	0.07490	0.99698	-0.02053	-0.01353	0.02161	0.99968	
76.71692	159.57187	-175.98996	-1.20517	-0.78990	-4.31103	2.28068	0.99708	-0.07486	0.01532	0.07516	0.99697	-0.01994	-0.01379	0.02103	0.99968	
76.64258	159.69595	-175.93887	-1.20339	-0.78851	-4.31873	2.34213	0.99707	-0.07500	0.01530	0.07530	0.99696	-0.01991	-0.01376	0.02100	0.99968	
76.66217	159.06371	-175.66815	-1.19914	-0.80231	-4.33938	2.31096	0.99704	-0.07536	0.01554	0.07566	0.99694	-0.01981	-0.01400	0.02093	0.99968	
76.80453	158.66444	-175.32724	-1.25914	-0.81484	-4.35489	2.32662	0.99701	-0.07560	0.01585	0.07593	0.99690	-0.02083	-0.01422	0.02197	0.99966	
76.82846	158.41327	-175.22916	-1.25003	-0.84152	-4.35511	2.33212	0.99700	-0.07560	0.01630	0.07593	0.99690	-0.02064	-0.01469	0.02181	0.99965	
77.03625	158.09659	-174.77060	-1.23950	-0.86867	-4.37289	2.31494	0.99697	-0.07590	0.01676	0.07624	0.99688	-0.02041	-0.01516	0.02163	0.99965	
76.97232	158.09634	-174.43094	-1.21852	-0.88131	-4.38610	2.28744	0.99695	-0.07613	0.01696	0.07647	0.99687	-0.02003	-0.01538	0.02126	0.99966	
76.53220	158.04367	-174.98358	-1.19304	-0.82529	-4.41291	2.28192	0.99693	-0.07663	0.01596	0.07694	0.99684	-0.01965	-0.01440	0.02082	0.99968	
77.28271	156.95322	-174.17859	-1.28994	-0.92717	-4.42637	2.32876	0.99689	-0.07680	0.01787	0.07717	0.99679	-0.02120	-0.01618	0.02251	0.99962	
76.77197	157.40408	-174.47577	-1.28182	-0.84436	-4.41729	2.28322	0.99692	-0.07667	0.01641	0.07701	0.99681	-0.02117	-0.01474	0.02237	0.99964	
76.99472	157.36557	-174.59348	-1.26554	-0.89863	-4.42211	2.30643	0.99690	-0.07674	0.01734	0.07709	0.99681	-0.02081	-0.01568	0.02208	0.99963	
76.43823	157.94110	-175.21884	-1.22581	-0.80555	-4.42009	2.23428	0.99693	-0.07675	0.01566	0.07706	0.99682	-0.02025	-0.01406	0.02139	0.99967	
76.77417	158.32813	-174.91046	-1.20655	-0.87334	-4.43488	2.27795	0.99689	-0.07699	0.01682	0.07732	0.99681	-0.01982	-0.01524	0.02105	0.99966	
76.20853	157.92010	-175.63437	-1.25865	-0.78041	-4.43948	2.34287	0.99691	-0.07709	0.01528	0.07740	0.99678	-0.02085	-0.01362	0.02196	0.99967	
76.42877	158.19191	-175.35358	-1.27373	-0.84479	-4.42772	2.29672	0.99691	-0.07686	0.01641	0.07719	0.99679	-0.02102	-0.01474	0.02223	0.99964	
76.22971	158.13062	-175.91595	-1.30976	-0.78492	-4.43828	2.33725	0.99691	-0.07705	0.01542	0.07738	0.99677	-0.02173	-0.01370	0.02286	0.99964	
76.32492	157.76367	-175.62592	-1.47786	-0.81181	-4.30144	2.24397	0.99708	-0.07461	0.01606	0.07500	0.99688	-0.02466	-0.01417	0.02579	0.99957	
75.87024	158.16003	-176.28104	-1.44403	-0.74926	-4.31100	2.36426	0.99709	-0.07482	0.01493	0.07516	0.99688	-0.02415	-0.01308	0.02520	0.99960	
76.05200	158.34183	-175.78384	-1.42703	-0.80487	-4.31324	2.22207	0.99707	-0.07484	0.01588	0.07520	0.99688	-0.02378	-0.01405	0.02490	0.99959	
75.96750	159.47861	-175.94992	-1.21380	-0.80742	-4.42782	2.23976	0.99692	-0.07689	0.01568	0.07720	0.99681	-0.02003	-0.01409	0.02118	0.99968	
75.73727	159.41510	-175.93024	-1.27737	-0.79671	-4.31857	2.21980	0.99706	-0.07497	0.01554	0.07529	0.99694	-0.02118	-0.01390	0.02229	0.99965	
75.89359	159.45523	-175.65094	-1.23075	-0.81373	-4.31821	2.26882	0.99706	-0.07497	0.01578	0.07529	0.99695	-0.02035	-0.01420	0.02148	0.99967	
75.62057	159.18820	-175.51654	-1.32315	-0.81150	-4.28982	2.26474	0.99710	-0.07446	0.01585	0.07479	0.99696	-0.02197	-0.01416	0.02309	0.99963	
75.21152	159.16591	-176.06485	-1.30420	-0.76757	-4.27282	2.28528	0.99713	-0.07418	0.01505	0.07450	0.99699	-0.02170	-0.01340	0.02276	0.99965	
75.07916	159.35019	-175.83963	-1.26718	-0.78349	-4.25974	2.35395	0.99714	-0.07396	0.01528	0.07427	0.99702	-0.02104	-0.01367	0.02211	0.99966	
74.99380	159.48959	-175.75015	-1.22523	-0.77720	-4.30408	2.28688	0.99709	-0.07474	0.01513	0.07504	0.99697	-0.02030	-0.01356	0.02138	0.99968	
75.28500	159.56967	-175.58078	-1.23853	-0.82944	-4.31308	2.21359	0.99706	-0.07488	0.01606	0.07520	0.99696	-0.02047	-0.01448	0.02161	0.99966	
74.83051	159.91370	-176.25598	-1.17961	-0.78521	-4.33361	2.38001	0.99705	-0.07527	0.01522	0.07556	0.99695	-0.01949	-0.01370	0.02058	0.99969	
74.66608	159.72827	-176.58801	-1.21830	-0.76521	-4.33744	2.28984	0.99705	-0.07533	0.01492	0.07562	0.99693	-0.02019	-0.01336	0.02126	0.99968	
74.92044	160.17828	-176.40436	-1.25301	-0.78493	-4.34387	2.13529	0.99703	-0.07543	0.01531	0.07574	0.99691	-0.02077	-0.01370	0.02187	0.99967	
74.63516	159.20963	-176.77106	-1.40151	-0.74837	-4.29006	2.21965	0.99711	-0.07446	0.01485	0.07480	0.99692	-0.02341	-0.01306	0.02446	0.99962	
73.96439	159.25067	-177.21408	-1.38223	-0.68849	-4.28164	2.18039	0.99714	-0.07435	0.01378	0.07465	0.99694	-0.02316	-0.01202	0.02412	0.99964	
74.52261	158.93173	-176.86368	-1.39092	-0.73979	-4.28410	2.15977	0.99712	-0.07437	0.01468	0.07470	0.99694	-0.02324	-0.01291	0.02427	0.99962	
74.43951	159.48428	-176.72394	-1.39907	-0.73928	-4.29515	2.17177	0.99711	-0.07456	0.01469	0.07489	0.99692	-0.02338	-0.01290	0.02441	0.99962	
74.60709	159.13847	-176.51373	-1.43984	-0.75782	-4.28600	2.14640	0.99712	-0.07438	0.01506	0.07473	0.99691	-0.02407	-0.01323	0.02513	0.99960	
74.83673	158.83820	-175.76953	-1.42905	-0.79988	-4.31258	2.11846	0.99707	-0.07483	0.01579	0.07519	0.99688	-0.02382	-0.01396	0.02494	0.99959	
74.73840	159.14082	-175.85583	-1.45473	-0.78758	-4.32199	2.16257	0.99706	-0.07499	0.01562	0.07535	0.99686	-0.02428	-0.01375	0.02538	0.99958	
74.66614	158.81053	-175.54941	-1.45799	-0.80768	-4.36459	2.32380	0.99700	-0.07572	0.01599	0.07610	0.99680	-0.02430	-0.01410	0.02544	0.99958	
74.47565	159.41045	-175.51999	-1.40960	-0.78236	-4.34650	2.19651	0.99703	-0.07543	0.01548	0.07578	0.99685	-0.02349	-0.01365	0.02460	0.99960	
